,RTT,MISS,HIT,TH
0,0.626346366405487,0.82,0.18,1.280359818485529
1,0.7028267931938171,0.64,0.35,1.40844209353729
2,0.491685574054718,0.61,0.39,2.1887932792598743
3,0.4162847948074341,0.48,0.5,2.197469548276818
4,0.28523077964782717,0.5,0.5,3.2226123742147226
5,0.31089144229888915,0.56,0.41,3.517985416107118
6,0.279520537853241,0.56,0.44,3.729203614180561
7,0.35755208015441897,0.53,0.46,3.10571662600989
8,0.3730198812484741,0.51,0.49,2.9715433833985068
9,0.3359974217414856,0.45,0.53,3.6306894073091587
10,0.3535583209991455,0.53,0.44,3.5409242708871953
11,0.41058605670928955,0.64,0.35,2.508947547455021
12,0.5993860101699829,0.45,0.53,1.8517106858821086
13,0.340547091960907,0.49,0.5,2.455977160703552
14,0.4770473027229309,0.55,0.45,2.4694170856347957
15,0.3794947838783264,0.53,0.47,3.460953287887895
16,0.39709842443466187,0.59,0.4,2.3648710299894837
17,0.3501704692840576,0.53,0.45,2.569153709161615
18,0.2653022766113281,0.48,0.5,3.6497906175851287
19,0.247629714012146,0.5,0.49,3.6966373104768073
20,0.30197404146194456,0.56,0.42,3.286483815613234
21,0.3476570773124695,0.55,0.45,2.591214213051457
22,0.2824489378929138,0.46,0.52,3.613313640382445
23,0.3699122214317322,0.63,0.35,2.2254734834489054
24,0.3758964419364929,0.44,0.55,3.0701881455823368
25,0.3491599822044373,0.55,0.44,2.907641229645755
26,0.6548993611335754,0.5,0.47,1.3871305026585812
27,0.44497141122817996,0.62,0.37,2.7268088002574995
28,0.3741743063926697,0.56,0.44,2.5229817864866995
29,0.3919928789138794,0.58,0.42,2.201754895117921
30,0.2986427855491638,0.52,0.47,3.0513196504121995
31,0.23131315946578979,0.45,0.55,4.268180514589423
32,0.47928499937057495,0.53,0.43,1.9055065800084985
33,0.2851542830467224,0.45,0.53,3.135694650791877
34,0.2957857632637024,0.56,0.43,3.272024147886927
35,0.3674771785736084,0.47,0.53,2.8485168087528607
36,0.3394647240638733,0.54,0.45,3.1799034287783297
37,0.517241141796112,0.5,0.5,2.4102375067670434
38,0.22290262937545777,0.53,0.47,4.466886204033389
39,0.2137024736404419,0.44,0.56,4.275224448441301
40,0.47870685338974,0.61,0.38,2.0303075109908812
41,0.4687176275253296,0.52,0.48,2.237495196280676
42,0.2727461695671082,0.5,0.48,3.647283778829523
43,0.34525811195373535,0.48,0.5,2.367382928020895
44,0.43001256704330443,0.57,0.42,2.2605705844455164
45,0.41157247304916383,0.48,0.52,2.3529534733590403
46,0.28241068601608277,0.41,0.58,3.0531997643704467
47,0.33536405563354493,0.58,0.41,2.9456484182056992
48,0.30050897121429443,0.5,0.48,3.311127770925826
49,0.361095552444458,0.53,0.47,2.612641982471139
