,RTT,MISS,HIT
0,0.5684065413475037,0.86,0.14
1,0.6762655544281005,0.73,0.24
2,0.8032297706604004,0.61,0.39
3,0.3340621089935303,0.54,0.45
4,0.3423703980445862,0.45,0.53
5,0.5871841382980346,0.51,0.49
6,0.2983660507202148,0.51,0.48
7,0.40551453590393066,0.58,0.41
8,1.8278059244155884,0.46,0.5
9,0.9341896176338196,0.45,0.54
10,0.3644750618934631,0.4,0.6
11,0.40670702934265135,0.55,0.45
12,0.33830263376235964,0.56,0.41
13,0.560250518321991,0.56,0.44
14,0.5007562899589538,0.55,0.45
15,0.5817493319511413,0.48,0.51
16,0.32057263135910036,0.46,0.54
17,0.3536756134033203,0.51,0.47
18,0.40643945693969724,0.58,0.42
19,0.36720770835876465,0.46,0.53
20,0.4904883146286011,0.45,0.55
21,0.3940011143684387,0.6,0.39
22,0.41202847242355345,0.56,0.42
23,0.27117123365402224,0.42,0.57
24,0.3113180422782898,0.47,0.53
25,0.6103512454032898,0.55,0.45
26,0.33496698141098025,0.53,0.46
27,0.36726166725158693,0.59,0.4
28,0.574650981426239,0.5,0.48
29,0.37369688987731936,0.42,0.57
30,0.38188260316848754,0.49,0.47
31,0.3937369704246521,0.53,0.46
32,0.3475609087944031,0.41,0.59
33,0.37516797065734864,0.48,0.5
34,0.44385013341903684,0.56,0.42
35,0.5283667826652527,0.57,0.41
36,0.5403310179710388,0.5,0.5
37,0.35660109758377073,0.54,0.45
38,0.4275446844100952,0.56,0.43
39,0.5459034490585327,0.54,0.43
40,0.4864210557937622,0.57,0.43
41,0.3000994300842285,0.58,0.42
42,0.5487100267410279,0.55,0.43
43,0.490662477016449,0.48,0.52
44,0.3402871108055115,0.42,0.56
45,0.33702582359313965,0.44,0.55
46,0.5497810912132263,0.66,0.33
47,0.6568540573120117,0.56,0.43
48,0.31251854181289673,0.49,0.51
49,0.2892980265617371,0.44,0.55
