,RTT,MISS,HIT
0,0.8457922458648681,17,3
1,0.8796954989433289,18,2
2,0.7498361349105835,18,2
3,0.590656864643097,17,3
4,1.469206690788269,18,2
5,0.407732880115509,17,3
6,0.4048821568489075,14,6
7,0.4861480832099915,13,7
8,0.3498614430427551,12,8
9,0.8691699743270874,14,6
10,0.2726265549659729,16,4
11,0.18348511457443237,7,13
12,0.2345392346382141,9,11
13,0.23541226387023925,8,12
14,0.4009079933166504,8,12
15,0.47062909603118896,11,9
16,0.15164570808410643,6,14
17,0.2842383861541748,10,10
18,0.115717613697052,4,16
19,0.37672526836395265,8,12
20,0.11298966407775879,7,13
21,0.31975470781326293,7,13
22,0.547425389289856,9,11
23,0.13861867189407348,5,15
24,0.20820887088775636,3,17
25,0.15053672790527345,7,13
26,0.059596586227416995,2,18
27,0.2528237223625183,7,13
28,0.06458755731582641,2,17
29,0.18306658267974854,4,15
30,0.12298388481140136,7,13
31,0.09403018951416016,2,18
32,0.295743989944458,5,15
33,0.1201097846031189,7,13
34,0.12085205316543579,1,18
35,0.07670824527740479,2,18
36,0.1059160828590393,3,17
37,0.13887333869934082,5,15
38,0.14424824714660645,5,15
39,0.06137015819549561,4,16
40,0.07779082059860229,4,16
41,0.02662438154220581,1,19
42,0.21816829442977906,4,16
43,0.10552256107330323,5,15
44,0.037453091144561766,3,17
45,0.02830561399459839,2,18
46,0.1286565899848938,1,19
47,0.15833802223205568,3,17
48,0.06904282569885253,3,16
49,0.01862213611602783,1,19
50,0.058030200004577634,3,17
51,0.12493693828582764,2,18
52,0.04722219705581665,2,18
53,0.01241893768310547,1,19
54,0.0032550811767578123,0,20
55,0.005074727535247803,0,20
56,0.05997060537338257,0,20
57,0.026408696174621583,2,18
58,0.011412882804870605,0,20
59,0.05667976140975952,2,18
60,0.07462860345840454,1,19
61,0.01849784851074219,1,19
62,0.1699459433555603,3,17
63,0.18762296438217163,3,17
64,0.0054463505744934086,0,20
65,0.0036819815635681153,0,20
66,0.029401171207427978,2,18
67,0.00244755744934082,0,20
68,0.006027507781982422,0,20
69,0.004684233665466308,0,20
70,0.002054858207702637,0,20
71,0.0016697168350219727,0,20
72,0.00699688196182251,1,19
73,0.023383688926696778,2,18
74,0.022443616390228273,1,19
75,0.022253167629241944,1,19
76,0.006300878524780273,0,20
77,0.005817806720733643,0,20
78,0.046837782859802245,2,18
79,0.046084034442901614,1,19
80,0.0023296475410461426,0,20
81,0.018322837352752686,1,19
82,0.06418266296386718,2,18
83,0.0022503972053527833,0,20
84,0.013954639434814453,1,19
85,0.003773915767669678,0,20
86,0.003460109233856201,0,20
87,0.01879384517669678,0,19
88,0.009685099124908447,1,19
89,0.1255940556526184,1,19
90,0.003522229194641113,0,20
91,0.0043911576271057125,0,20
92,0.00302426815032959,0,20
93,0.0019277572631835938,0,20
94,0.07462036609649658,1,19
95,0.005824816226959228,0,20
96,0.002322673797607422,0,20
97,0.005775463581085205,0,20
98,0.0026888012886047362,0,20
99,0.002065134048461914,0,20
