,RTT,MISS,HIT
0,0.24488632678985595,20,2
1,0.3086871862411499,40,2
2,0.30247122049331665,59,3
3,0.2504974722862244,78,4
4,0.24030330181121826,94,8
5,0.23279423713684083,109,13
6,0.2589669585227966,125,17
7,0.19397295713424684,138,24
8,0.22091879844665527,156,26
9,0.25179052352905273,173,29
10,0.23335154056549073,183,39
11,0.19738519191741943,198,44
12,0.23436756134033204,208,54
13,0.2084498643875122,221,61
14,0.21370201110839843,234,68
15,0.17575767040252685,244,78
16,0.18601089715957642,254,88
17,0.1907179594039917,263,99
18,0.15664277076721192,270,112
19,0.19688221216201782,282,120
20,0.16481953859329224,290,132
21,0.18323931694030762,300,142
22,0.1862598776817322,310,152
23,0.16129015684127807,315,167
24,0.17362231016159058,323,179
25,0.16832680702209474,331,191
26,0.14201507568359376,338,204
27,0.1949742078781128,345,217
28,0.15320318937301636,350,232
29,0.14630862474441528,357,245
30,0.1234763503074646,361,261
31,0.15039757490158082,371,271
32,0.2275771379470825,382,280
33,0.1517557144165039,388,294
34,0.30279496908187864,400,302
35,0.1612764358520508,408,314
36,0.12763514518737792,414,328
37,0.17853323221206666,420,342
38,0.15335925817489623,430,352
39,0.14704543352127075,440,362
40,0.12735252380371093,445,377
41,0.14929298162460328,450,392
42,0.14962846040725708,455,407
43,0.1397088885307312,462,420
44,0.12451715469360351,467,435
45,0.13707921504974366,471,451
46,0.2327100396156311,478,464
47,0.13592796325683593,484,478
48,0.13386838436126708,487,495
49,0.15109703540802003,490,512
50,0.16000878810882568,496,526
51,0.1457481026649475,502,540
52,0.14988863468170166,509,553
53,0.14294055700302125,512,570
54,0.14629826545715333,517,585
55,0.1254255771636963,521,601
56,0.13666741847991942,527,615
57,0.1355196714401245,530,632
58,0.18971328735351561,538,644
59,0.13583006858825683,542,660
60,0.159334135055542,546,676
61,0.12369890213012695,550,692
62,0.10902618169784546,553,709
63,0.17015392780303956,557,725
64,0.13363947868347167,560,742
65,0.11114145517349243,563,759
66,0.13840882778167723,568,774
67,0.1714587926864624,575,787
68,0.11012343168258668,576,806
69,0.18286796808242797,584,818
70,0.14141188859939574,587,835
71,0.14225906133651733,592,850
72,0.12016171216964722,594,868
73,0.15874357223510743,598,884
74,0.14443697929382324,603,899
75,0.12125215530395508,608,914
76,0.15329689979553224,614,928
77,0.14686435461044312,619,943
78,0.1566547155380249,624,958
79,0.16371940374374389,630,972
80,0.13042032718658447,634,988
81,0.12460498809814453,638,1004
82,0.17121224403381347,644,1018
83,0.1349311351776123,646,1036
84,0.11372461318969726,649,1053
85,0.13201204538345337,653,1069
86,0.1303318500518799,657,1085
87,0.18013182878494263,662,1100
88,0.14223319292068481,668,1114
89,0.14432021379470825,674,1128
90,0.11908284425735474,676,1146
91,0.16145150661468505,682,1160
92,0.1565685510635376,685,1177
93,0.13503191471099854,688,1194
94,0.11575227975845337,692,1210
95,0.18197618722915648,696,1226
96,0.1567858338356018,700,1242
97,0.1267914056777954,703,1259
98,0.10079206228256225,706,1276
99,0.11202287673950195,707,1295
